Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     65.34     0.00    11000     0.00     0.00  void std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::emplace_back<std::vector<bool, std::allocator<bool> > >(std::vector<bool, std::allocator<bool> >&&)
  0.00     65.34     0.00     5280     0.00     0.00  void std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > >::_M_realloc_insert<std::vector<bool, std::allocator<bool> > >(__gnu_cxx::__normal_iterator<std::vector<bool, std::allocator<bool> >*, std::vector<std::vector<bool, std::allocator<bool> >, std::allocator<std::vector<bool, std::allocator<bool> > > > >, std::vector<bool, std::allocator<bool> >&&)
  0.00     65.34     0.00     2934     0.00     0.00  void std::deque<Packet*, std::allocator<Packet*> >::_M_push_back_aux<Packet* const&>(Packet* const&)
  0.00     65.34     0.00     1370     0.00     0.00  DctcpQueue::enque(Packet*)
  0.00     65.34     0.00     1062     0.00     0.00  Queue::set_src_dst(Node*, Node*)
  0.00     65.34     0.00     1062     0.00     0.00  Queue::Queue(unsigned int, double, unsigned int, int)
  0.00     65.34     0.00     1062     0.00     0.00  Factory::get_queue(unsigned int, double, unsigned int, unsigned int, double, int)
  0.00     65.34     0.00      914     0.00     0.00  std::_Rb_tree<Flow*, std::pair<Flow* const, std::vector<unsigned int, std::allocator<unsigned int> > >, std::_Select1st<std::pair<Flow* const, std::vector<unsigned int, std::allocator<unsigned int> > > >, std::less<Flow*>, std::allocator<std::pair<Flow* const, std::vector<unsigned int, std::allocator<unsigned int> > > > >::_M_erase(std::_Rb_tree_node<std::pair<Flow* const, std::vector<unsigned int, std::allocator<unsigned int> > > >*)
  0.00     65.34     0.00      887     0.00     0.00  std::_Hashtable<src_dst_pair, std::pair<src_dst_pair const, unsigned int>, std::allocator<std::pair<src_dst_pair const, unsigned int> >, std::__detail::_Select1st, std::equal_to<src_dst_pair>, std::hash<src_dst_pair>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_find_before_node(unsigned long, src_dst_pair const&, unsigned long) const
  0.00     65.34     0.00      886     0.00     0.00  std::__detail::_Map_base<src_dst_pair, std::pair<src_dst_pair const, unsigned int>, std::allocator<std::pair<src_dst_pair const, unsigned int> >, std::__detail::_Select1st, std::equal_to<src_dst_pair>, std::hash<src_dst_pair>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true>, true>::operator[](src_dst_pair&&)
  0.00     65.34     0.00      785     0.00     0.00  void std::vector<Queue*, std::allocator<Queue*> >::emplace_back<Queue*>(Queue*&&)
  0.00     65.34     0.00      629     0.00     0.00  void std::vector<Queue*, std::allocator<Queue*> >::_M_realloc_insert<Queue*>(__gnu_cxx::__normal_iterator<Queue**, std::vector<Queue*, std::allocator<Queue*> > >, Queue*&&)
